year,Nima
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,6
1922,0
1923,0
1924,5
1925,0
1926,0
1927,0
1928,6
1929,0
1930,0
1931,0
1932,0
1933,0
1934,5
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,5
1972,5
1973,0
1974,0
1975,0
1976,5
1977,11
1978,17
1979,25
1980,25
1981,31
1982,38
1983,31
1984,38
1985,37
1986,31
1987,43
1988,38
1989,35
1990,47
1991,36
1992,51
1993,31
1994,21
1995,33
1996,23
1997,37
1998,38
1999,32
2000,31
2001,38
2002,38
2003,32
2004,23
2005,20
2006,33
2007,20
2008,20
2009,18
2010,16
2011,20
2012,17
