year,Jessika
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,6
1969,0
1970,8
1971,9
1972,11
1973,14
1974,32
1975,32
1976,47
1977,60
1978,57
1979,68
1980,75
1981,86
1982,87
1983,82
1984,121
1985,156
1986,170
1987,278
1988,272
1989,270
1990,377
1991,311
1992,327
1993,290
1994,258
1995,276
1996,223
1997,225
1998,213
1999,171
2000,175
2001,127
2002,127
2003,88
2004,87
2005,103
2006,85
2007,79
2008,61
2009,62
2010,62
2011,54
2012,47
