year,Johanna (F),Johanna (M)
1880,0.000318,0.000000
1881,0.000301,0.000000
1882,0.000334,0.000000
1883,0.000392,0.000000
1884,0.000300,0.000000
1885,0.000361,0.000000
1886,0.000411,0.000000
1887,0.000348,0.000000
1888,0.000394,0.000000
1889,0.000395,0.000000
1890,0.000358,0.000000
1891,0.000426,0.000000
1892,0.000422,0.000000
1893,0.000477,0.000000
1894,0.000375,0.000000
1895,0.000430,0.000000
1896,0.000439,0.000000
1897,0.000355,0.000000
1898,0.000422,0.000000
1899,0.000377,0.000000
1900,0.000320,0.000000
1901,0.000344,0.000000
1902,0.000295,0.000000
1903,0.000239,0.000000
1904,0.000310,0.000000
1905,0.000241,0.000000
1906,0.000252,0.000000
1907,0.000249,0.000000
1908,0.000211,0.000000
1909,0.000200,0.000000
1910,0.000239,0.000000
1911,0.000188,0.000000
1912,0.000190,0.000000
1913,0.000172,0.000000
1914,0.000181,0.000000
1915,0.000174,0.000000
1916,0.000189,0.000000
1917,0.000176,0.000000
1918,0.000141,0.000000
1919,0.000139,0.000000
1920,0.000131,0.000000
1921,0.000142,0.000000
1922,0.000119,0.000000
1923,0.000113,0.000000
1924,0.000126,0.000000
1925,0.000114,0.000000
1926,0.000099,0.000000
1927,0.000104,0.000000
1928,0.000092,0.000000
1929,0.000104,0.000000
1930,0.000109,0.000000
1931,0.000096,0.000000
1932,0.000116,0.000000
1933,0.000103,0.000000
1934,0.000135,0.000000
1935,0.000133,0.000000
1936,0.000120,0.000000
1937,0.000126,0.000000
1938,0.000118,0.000000
1939,0.000133,0.000000
1940,0.000117,0.000000
1941,0.000116,0.000000
1942,0.000117,0.000000
1943,0.000102,0.000000
1944,0.000103,0.000000
1945,0.000085,0.000000
1946,0.000085,0.000000
1947,0.000088,0.000000
1948,0.000079,0.000000
1949,0.000075,0.000000
1950,0.000070,0.000000
1951,0.000065,0.000000
1952,0.000071,0.000000
1953,0.000070,0.000000
1954,0.000057,0.000000
1955,0.000066,0.000000
1956,0.000071,0.000000
1957,0.000065,0.000000
1958,0.000067,0.000000
1959,0.000067,0.000000
1960,0.000075,0.000000
1961,0.000091,0.000000
1962,0.000088,0.000000
1963,0.000100,0.000000
1964,0.000097,0.000000
1965,0.000104,0.000000
1966,0.000094,0.000000
1967,0.000088,0.000000
1968,0.000089,0.000000
1969,0.000117,0.000000
1970,0.000114,0.000000
1971,0.000133,0.000000
1972,0.000130,0.000000
1973,0.000164,0.000002
1974,0.000188,0.000002
1975,0.000179,0.000000
1976,0.000204,0.000000
1977,0.000191,0.000000
1978,0.000164,0.000000
1979,0.000164,0.000003
1980,0.000251,0.000002
1981,0.000254,0.000002
1982,0.000227,0.000002
1983,0.000225,0.000002
1984,0.000263,0.000003
1985,0.000253,0.000004
1986,0.000226,0.000002
1987,0.000213,0.000002
1988,0.000201,0.000002
1989,0.000184,0.000000
1990,0.000177,0.000002
1991,0.000177,0.000001
1992,0.000172,0.000002
1993,0.000157,0.000000
1994,0.000154,0.000000
1995,0.000159,0.000000
1996,0.000161,0.000000
1997,0.000169,0.000000
1998,0.000139,0.000000
1999,0.000146,0.000000
2000,0.000157,0.000000
2001,0.000181,0.000002
2002,0.000164,0.000000
2003,0.000144,0.000000
2004,0.000153,0.000000
2005,0.000202,0.000000
2006,0.000217,0.000000
2007,0.000197,0.000000
2008,0.000179,0.000001
2009,0.000171,0.000000
2010,0.000189,0.000000
2011,0.000154,0.000000
2012,0.000175,0.000000
2013,0.000154,0.000000
2014,0.000154,0.000000
2015,0.000156,0.000000
2016,0.000153,0.000000
2017,0.000157,0.000000
2018,0.000168,0.000000
2019,0.000148,0.000000
2020,0.000135,0.000000
