year,Jazmine
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,5
1972,0
1973,0
1974,7
1975,10
1976,13
1977,15
1978,31
1979,32
1980,66
1981,59
1982,68
1983,69
1984,132
1985,174
1986,193
1987,336
1988,477
1989,747
1990,926
1991,1061
1992,1063
1993,1374
1994,1526
1995,1349
1996,1247
1997,1395
1998,1402
1999,1378
2000,1353
2001,1466
2002,1364
2003,1313
2004,1305
2005,1311
2006,1525
2007,1430
2008,1424
2009,1452
2010,1209
2011,1089
2012,939
