year,Roan
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,5
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,6
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,6
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,5
1969,7
1970,0
1971,0
1972,5
1973,6
1974,6
1975,0
1976,0
1977,6
1978,0
1979,7
1980,5
1981,0
1982,6
1983,5
1984,0
1985,0
1986,6
1987,0
1988,6
1989,0
1990,7
1991,0
1992,8
1993,5
1994,5
1995,6
1996,16
1997,16
1998,15
1999,22
2000,22
2001,39
2002,56
2003,78
2004,109
2005,114
2006,113
2007,116
2008,115
2009,92
2010,98
2011,87
2012,84
