year,Rise
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,15
1943,7
1944,13
1945,25
1946,19
1947,28
1948,41
1949,37
1950,40
1951,49
1952,59
1953,60
1954,52
1955,67
1956,63
1957,54
1958,52
1959,53
1960,39
1961,41
1962,33
1963,54
1964,26
1965,18
1966,20
1967,15
1968,9
1969,16
1970,7
1971,7
1972,0
1973,7
1974,9
1975,0
1976,8
1977,8
1978,6
1979,0
1980,8
1981,6
1982,0
1983,0
1984,0
1985,6
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
