year,Raimundo
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,6
1929,0
1930,8
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,5
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,5
1950,0
1951,0
1952,0
1953,0
1954,5
1955,0
1956,0
1957,0
1958,5
1959,0
1960,8
1961,6
1962,0
1963,5
1964,5
1965,6
1966,5
1967,0
1968,0
1969,7
1970,7
1971,8
1972,6
1973,7
1974,7
1975,5
1976,7
1977,5
1978,5
1979,0
1980,11
1981,6
1982,8
1983,0
1984,0
1985,0
1986,5
1987,0
1988,7
1989,5
1990,9
1991,0
1992,0
1993,7
1994,5
1995,0
1996,9
1997,10
1998,10
1999,5
2000,6
2001,7
2002,6
2003,8
2004,6
2005,0
2006,0
2007,5
2008,5
2009,5
2010,0
2011,0
2012,0
