year,Rosene
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,5
1916,5
1917,0
1918,0
1919,0
1920,0
1921,5
1922,11
1923,0
1924,0
1925,5
1926,5
1927,5
1928,7
1929,9
1930,0
1931,0
1932,9
1933,0
1934,0
1935,0
1936,5
1937,5
1938,6
1939,0
1940,0
1941,0
1942,7
1943,0
1944,0
1945,0
1946,0
1947,0
1948,6
1949,5
1950,0
1951,0
1952,0
1953,5
1954,5
1955,0
1956,5
1957,6
1958,9
1959,0
1960,0
1961,5
1962,0
1963,0
1964,0
1965,0
1966,0
1967,5
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,5
1977,0
1978,0
1979,0
1980,0
1981,5
1982,10
1983,6
1984,5
1985,0
1986,0
1987,5
1988,0
1989,5
1990,8
1991,7
1992,0
1993,0
1994,7
1995,5
1996,0
1997,7
1998,0
1999,0
2000,8
2001,6
2002,0
2003,0
2004,6
2005,0
2006,0
2007,10
2008,0
2009,0
2010,7
2011,0
2012,5
