year,Oval
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,5
1899,0
1900,0
1901,5
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,5
1910,7
1911,5
1912,20
1913,8
1914,22
1915,20
1916,34
1917,28
1918,34
1919,30
1920,44
1921,30
1922,38
1923,27
1924,26
1925,14
1926,12
1927,18
1928,18
1929,6
1930,8
1931,11
1932,10
1933,9
1934,0
1935,8
1936,11
1937,6
1938,6
1939,5
1940,7
1941,0
1942,10
1943,7
1944,5
1945,7
1946,8
1947,7
1948,9
1949,0
1950,5
1951,0
1952,6
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
