year,Sharel
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,6
1939,5
1940,6
1941,8
1942,12
1943,7
1944,8
1945,8
1946,10
1947,8
1948,11
1949,9
1950,0
1951,8
1952,6
1953,15
1954,7
1955,6
1956,9
1957,14
1958,7
1959,11
1960,9
1961,7
1962,8
1963,5
1964,7
1965,7
1966,0
1967,5
1968,6
1969,0
1970,6
1971,0
1972,0
1973,6
1974,6
1975,0
1976,0
1977,7
1978,0
1979,5
1980,0
1981,0
1982,5
1983,6
1984,8
1985,0
1986,5
1987,8
1988,7
1989,5
1990,6
1991,5
1992,0
1993,0
1994,0
1995,6
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,5
2006,0
2007,6
2008,0
2009,0
2010,0
2011,0
2012,0
