year,Eboni
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,15
1971,22
1972,43
1973,47
1974,77
1975,103
1976,138
1977,130
1978,178
1979,199
1980,211
1981,209
1982,282
1983,237
1984,239
1985,238
1986,251
1987,247
1988,256
1989,234
1990,252
1991,253
1992,243
1993,238
1994,214
1995,244
1996,200
1997,171
1998,203
1999,163
2000,128
2001,112
2002,94
2003,86
2004,62
2005,82
2006,68
2007,65
2008,61
2009,40
2010,37
2011,26
2012,24
