year,Holton
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,7
1915,6
1916,0
1917,0
1918,7
1919,6
1920,0
1921,0
1922,6
1923,0
1924,10
1925,6
1926,6
1927,0
1928,0
1929,5
1930,0
1931,0
1932,0
1933,0
1934,0
1935,5
1936,7
1937,0
1938,5
1939,0
1940,0
1941,5
1942,0
1943,6
1944,5
1945,0
1946,6
1947,0
1948,0
1949,0
1950,0
1951,5
1952,0
1953,0
1954,0
1955,0
1956,0
1957,6
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,5
1987,0
1988,0
1989,10
1990,5
1991,11
1992,9
1993,15
1994,6
1995,12
1996,12
1997,16
1998,16
1999,12
2000,13
2001,15
2002,16
2003,21
2004,28
2005,19
2006,17
2007,25
2008,20
2009,29
2010,36
2011,42
2012,30
