year,Gentle
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,5
1914,0
1915,10
1916,5
1917,0
1918,13
1919,9
1920,7
1921,6
1922,6
1923,0
1924,8
1925,8
1926,0
1927,9
1928,0
1929,5
1930,0
1931,0
1932,6
1933,7
1934,6
1935,0
1936,0
1937,5
1938,9
1939,0
1940,5
1941,0
1942,5
1943,0
1944,0
1945,0
1946,11
1947,6
1948,0
1949,11
1950,0
1951,6
1952,0
1953,7
1954,0
1955,0
1956,6
1957,6
1958,0
1959,0
1960,0
1961,5
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,5
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
