year,Merissa
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,6
1963,0
1964,0
1965,6
1966,0
1967,5
1968,0
1969,0
1970,14
1971,12
1972,15
1973,12
1974,13
1975,26
1976,34
1977,60
1978,50
1979,70
1980,50
1981,58
1982,56
1983,63
1984,72
1985,65
1986,105
1987,125
1988,104
1989,155
1990,168
1991,158
1992,155
1993,167
1994,155
1995,172
1996,120
1997,109
1998,108
1999,88
2000,88
2001,85
2002,75
2003,83
2004,76
2005,77
2006,73
2007,68
2008,51
2009,34
2010,30
2011,20
2012,15
