year,Moriah
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,8
1969,0
1970,14
1971,13
1972,19
1973,35
1974,51
1975,35
1976,59
1977,81
1978,80
1979,89
1980,82
1981,97
1982,91
1983,82
1984,96
1985,109
1986,125
1987,136
1988,167
1989,193
1990,258
1991,482
1992,517
1993,507
1994,499
1995,516
1996,487
1997,503
1998,457
1999,395
2000,358
2001,314
2002,271
2003,305
2004,292
2005,301
2006,297
2007,318
2008,365
2009,396
2010,352
2011,329
2012,307
