year,Lamarcus
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,6
1968,0
1969,0
1970,11
1971,18
1972,22
1973,24
1974,21
1975,29
1976,36
1977,40
1978,56
1979,55
1980,55
1981,64
1982,84
1983,80
1984,88
1985,72
1986,71
1987,85
1988,93
1989,99
1990,80
1991,81
1992,74
1993,71
1994,87
1995,75
1996,67
1997,57
1998,67
1999,54
2000,39
2001,43
2002,51
2003,46
2004,50
2005,59
2006,52
2007,82
2008,77
2009,63
2010,60
2011,72
2012,56
