year,Lylia
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,6
1920,6
1921,0
1922,5
1923,0
1924,0
1925,8
1926,0
1927,0
1928,5
1929,9
1930,0
1931,7
1932,0
1933,0
1934,0
1935,7
1936,5
1937,0
1938,6
1939,0
1940,0
1941,5
1942,5
1943,5
1944,0
1945,0
1946,7
1947,5
1948,0
1949,0
1950,6
1951,7
1952,7
1953,5
1954,5
1955,0
1956,0
1957,0
1958,0
1959,6
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,5
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,5
1997,0
1998,0
1999,0
2000,6
2001,9
2002,7
2003,7
2004,10
2005,8
2006,13
2007,14
2008,10
2009,16
2010,5
2011,20
2012,12
