year,Aja
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,7
1969,8
1970,0
1971,0
1972,7
1973,0
1974,0
1975,0
1976,0
1977,14
1978,510
1979,362
1980,320
1981,267
1982,263
1983,249
1984,181
1985,167
1986,181
1987,164
1988,203
1989,205
1990,202
1991,230
1992,200
1993,207
1994,216
1995,232
1996,246
1997,206
1998,198
1999,194
2000,227
2001,209
2002,227
2003,209
2004,194
2005,165
2006,152
2007,165
2008,142
2009,133
2010,137
2011,152
2012,100
