year,Ayisha
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,10
1970,5
1971,7
1972,10
1973,17
1974,18
1975,16
1976,18
1977,37
1978,22
1979,27
1980,35
1981,33
1982,23
1983,26
1984,24
1985,27
1986,16
1987,35
1988,15
1989,25
1990,21
1991,34
1992,23
1993,24
1994,20
1995,20
1996,14
1997,13
1998,10
1999,15
2000,14
2001,16
2002,18
2003,17
2004,11
2005,22
2006,23
2007,10
2008,11
2009,8
2010,15
2011,7
2012,11
