year,Adelaido
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,5
1918,5
1919,9
1920,5
1921,5
1922,5
1923,7
1924,6
1925,7
1926,0
1927,7
1928,6
1929,6
1930,0
1931,6
1932,0
1933,7
1934,5
1935,0
1936,6
1937,7
1938,9
1939,0
1940,5
1941,0
1942,6
1943,0
1944,0
1945,5
1946,0
1947,5
1948,5
1949,0
1950,0
1951,9
1952,0
1953,0
1954,0
1955,0
1956,5
1957,0
1958,6
1959,0
1960,0
1961,6
1962,5
1963,0
1964,0
1965,5
1966,0
1967,0
1968,5
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,5
1981,0
1982,0
1983,7
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,7
1992,5
1993,5
1994,0
1995,5
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,7
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
