year,Delayna
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,6
1963,0
1964,0
1965,0
1966,7
1967,6
1968,7
1969,5
1970,0
1971,0
1972,0
1973,7
1974,7
1975,0
1976,9
1977,9
1978,7
1979,11
1980,6
1981,8
1982,11
1983,6
1984,11
1985,9
1986,5
1987,8
1988,13
1989,11
1990,15
1991,17
1992,12
1993,11
1994,12
1995,14
1996,15
1997,21
1998,18
1999,29
2000,25
2001,20
2002,29
2003,24
2004,35
2005,28
2006,31
2007,37
2008,37
2009,25
2010,34
2011,25
2012,18
