year,Demitri
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,5
1965,12
1966,0
1967,5
1968,10
1969,0
1970,0
1971,0
1972,0
1973,7
1974,12
1975,11
1976,0
1977,0
1978,10
1979,8
1980,13
1981,8
1982,10
1983,6
1984,6
1985,12
1986,10
1987,11
1988,19
1989,26
1990,20
1991,32
1992,77
1993,68
1994,68
1995,48
1996,50
1997,68
1998,65
1999,74
2000,57
2001,78
2002,65
2003,71
2004,67
2005,50
2006,71
2007,66
2008,50
2009,71
2010,69
2011,66
2012,70
