year,Duana
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,6
1947,5
1948,0
1949,5
1950,8
1951,12
1952,15
1953,10
1954,17
1955,9
1956,11
1957,9
1958,8
1959,13
1960,11
1961,13
1962,12
1963,7
1964,29
1965,18
1966,11
1967,16
1968,17
1969,23
1970,24
1971,24
1972,20
1973,11
1974,19
1975,23
1976,28
1977,31
1978,11
1979,10
1980,9
1981,7
1982,5
1983,8
1984,12
1985,6
1986,5
1987,6
1988,7
1989,7
1990,6
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
