year,Kathalene
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,5
1915,5
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,8
1923,7
1924,0
1925,0
1926,6
1927,6
1928,0
1929,0
1930,0
1931,0
1932,5
1933,0
1934,0
1935,7
1936,5
1937,0
1938,0
1939,6
1940,0
1941,5
1942,9
1943,0
1944,6
1945,0
1946,6
1947,6
1948,8
1949,0
1950,8
1951,6
1952,9
1953,9
1954,10
1955,8
1956,0
1957,8
1958,8
1959,9
1960,9
1961,0
1962,0
1963,0
1964,0
1965,0
1966,6
1967,5
1968,6
1969,7
1970,5
1971,6
1972,0
1973,6
1974,0
1975,0
1976,0
1977,0
1978,0
1979,5
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
