year,Keyana
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,6
1973,8
1974,8
1975,9
1976,17
1977,31
1978,45
1979,46
1980,54
1981,72
1982,75
1983,63
1984,63
1985,55
1986,68
1987,71
1988,85
1989,103
1990,107
1991,115
1992,141
1993,147
1994,167
1995,167
1996,163
1997,137
1998,153
1999,130
2000,137
2001,117
2002,108
2003,125
2004,116
2005,85
2006,90
2007,115
2008,104
2009,83
2010,64
2011,51
2012,34
