year,Kaaren
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,5
1939,6
1940,18
1941,50
1942,191
1943,85
1944,55
1945,59
1946,28
1947,27
1948,23
1949,22
1950,11
1951,8
1952,6
1953,17
1954,7
1955,9
1956,7
1957,9
1958,6
1959,12
1960,9
1961,11
1962,11
1963,19
1964,12
1965,11
1966,18
1967,22
1968,18
1969,11
1970,13
1971,11
1972,8
1973,7
1974,9
1975,8
1976,7
1977,0
1978,0
1979,0
1980,8
1981,5
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,5
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
